flight_number,scheduled_departure_date_local,scheduled_departure_datetime_local,scheduled_departure_station_code,scheduled_arrival_station_code,fleet_type,carrier,difficulty_score,difficulty_category,passengers,total_seats,load_factor,total_bags,checked_bags,transfer_bags,hot_transfer_bags,special_service_requests,scheduled_ground_time_minutes,minimum_turn_minutes,ground_buffer
5038,2025-08-11,2025-08-11T11:05:00Z,ORD,PLN,CRJ-200,Express,39.0,Medium-Low,46,50,92.0,100,31,19,0,0.0,85,29,56
3523,2025-08-15,2025-08-15T14:55:00Z,ORD,RIC,ERJ-175,Express,44.0,Medium,88,76,115.8,99,25,24,1,0.0,47,34,13
5565,2025-08-09,2025-08-09T14:04:00Z,ORD,CHO,CRJ-550,Express,51.0,Medium,65,50,130.0,92,7,34,10,0.0,3254,29,3225
5946,2025-08-12,2025-08-12T20:05:00Z,ORD,RAP,ERJ-175,Express,39.0,Medium-Low,30,70,42.9,67,6,26,3,0.0,175,34,141
5849,2025-08-02,2025-08-02T13:55:00Z,ORD,PWM,ERJ-175,Express,46.0,Medium,89,76,117.1,118,24,27,16,0.0,76,34,42
2652,2025-08-03,2025-08-03T18:08:00Z,ORD,RSW,B737-800,Mainline,51.0,Medium,207,166,124.7,256,64,62,4,0.0,64,51,13
468,2025-08-07,2025-08-07T06:00:00Z,ORD,IAH,B737-900,Mainline,42.0,Medium,206,179,115.1,300,142,8,0,0.0,575,56,519
763,2025-08-07,2025-08-07T10:58:00Z,ORD,PWM,B737-800,Mainline,37.0,Medium-Low,215,166,129.5,185,61,31,1,0.0,73,51,22
1304,2025-08-06,2025-08-06T11:29:00Z,ORD,LAS,B737-900,Mainline,49.0,Medium,160,179,89.4,232,56,60,0,0.0,68,56,12
2182,2025-08-06,2025-08-06T11:20:00Z,ORD,PHL,A320-200,Mainline,42.0,Medium,149,150,99.3,154,38,39,0,0.0,160,46,114
2465,2025-08-05,2025-08-05T11:55:00Z,ORD,ORF,B737-900,Mainline,75.0,Medium-High,210,179,117.3,243,48,69,9,0.0,-47,56,-103
1347,2025-08-13,2025-08-13T16:20:00Z,ORD,FLL,B737-MAX9,Mainline,40.0,Medium-Low,209,179,116.8,236,98,19,2,0.0,85,56,29
2071,2025-08-04,2025-08-04T07:11:00Z,ORD,SAN,B737-MAX9,Mainline,58.0,Medium,204,179,114.0,274,124,9,8,0.0,71,62,9
1920,2025-08-10,2025-08-10T15:41:00Z,ORD,LAS,B737-900,Mainline,61.0,Medium-High,202,179,112.8,220,38,68,8,0.0,67,56,11
5984,2025-08-04,2025-08-04T09:20:00Z,ORD,BIL,ERJ-175,Express,36.0,Medium-Low,81,76,106.6,94,26,20,2,0.0,981,34,947
2418,2025-08-13,2025-08-13T07:35:00Z,ORD,PHL,B737-900,Mainline,44.0,Medium,191,179,106.7,208,44,60,0,0.0,509,56,453
2361,2025-08-06,2025-08-06T07:10:00Z,ORD,LAX,B757-300,Mainline,45.0,Medium,291,234,124.4,283,99,31,23,0.0,765,66,699
5314,2025-08-04,2025-08-04T19:40:00Z,ORD,LNK,CRJ-550,Express,51.0,Medium,54,50,108.0,82,8,30,6,0.0,49,29,20
2099,2025-08-13,2025-08-13T09:46:00Z,ORD,IAH,B737-900,Mainline,46.0,Medium,186,179,103.9,262,67,64,0,0.0,801,56,745
3542,2025-08-01,2025-08-01T17:58:00Z,ORD,YUL,ERJ-175,Express,57.0,Medium,85,76,111.8,157,30,41,15,0.0,53,42,11
1363,2025-08-14,2025-08-14T12:54:00Z,ORD,LAX,A321-2NX,Mainline,51.0,Medium,214,200,107.0,242,68,44,18,0.0,75,62,13
2071,2025-08-05,2025-08-05T07:11:00Z,ORD,SAN,B737-MAX9,Mainline,39.0,Medium-Low,221,179,123.5,205,93,7,5,0.0,676,56,620
580,2025-08-05,2025-08-05T16:13:00Z,ORD,PDX,B737-900,Mainline,49.0,Medium,225,179,125.7,250,41,84,0,0.0,78,56,22
4597,2025-08-07,2025-08-07T07:15:00Z,ORD,ROA,CRJ-550,Express,35.0,Medium-Low,31,50,62.0,65,6,24,5,0.0,980,29,951
1377,2025-08-03,2025-08-03T11:20:00Z,ORD,MYR,B737-700,Mainline,47.0,Medium,196,126,155.6,189,54,38,5,0.0,100,43,57
4436,2025-08-03,2025-08-03T12:45:00Z,ORD,SGF,CRJ-550,Express,45.0,Medium,50,50,100.0,74,5,27,10,0.0,65,29,36
2488,2025-08-14,2025-08-14T12:00:00Z,ORD,LGA,B737-900,Mainline,66.0,Medium-High,217,179,121.2,269,120,14,1,0.0,-175,56,-231
2385,2025-08-11,2025-08-11T08:50:00Z,ORD,MSO,B737-800,Mainline,46.0,Medium,181,166,109.0,249,20,83,43,0.0,81,51,30
3716,2025-08-08,2025-08-08T18:17:00Z,ORD,CMH,ERJ-175,Express,56.0,Medium,84,76,110.5,140,15,55,0,0.0,47,34,13
1387,2025-08-09,2025-08-09T08:50:00Z,ORD,SFO,B737-900,Mainline,78.0,Medium-High,257,179,143.6,335,109,46,25,0.0,11,56,-45
1779,2025-08-01,2025-08-01T21:32:00Z,ORD,BOS,B737-900,Mainline,71.0,Medium-High,200,179,111.7,120,31,29,0,0.0,112,119,-7
1215,2025-08-02,2025-08-02T09:25:00Z,ORD,ANC,B737-MAX8,Mainline,51.0,Medium,211,166,127.1,371,44,137,9,0.0,110,51,59
2616,2025-08-14,2025-08-14T12:46:00Z,ORD,PDX,B737-800,Mainline,78.0,Medium-High,182,166,109.6,316,50,96,24,0.0,-17,51,-68
2278,2025-08-03,2025-08-03T16:15:00Z,ORD,SEA,A321-2NX,Mainline,56.0,Medium,236,200,118.0,250,78,47,0,0.0,80,62,18
777,2025-08-13,2025-08-13T19:49:00Z,ORD,LAS,B737-900,Mainline,42.0,Medium,114,179,63.7,132,24,37,10,0.0,79,56,23
2148,2025-08-12,2025-08-12T19:40:00Z,ORD,SAT,A320-200,Mainline,52.0,Medium,80,150,53.3,187,27,63,7,0.0,60,46,14
5610,2025-08-10,2025-08-10T18:06:00Z,ORD,CHO,CRJ-550,Express,52.0,Medium,42,50,84.0,66,5,28,0,0.0,67,29,38
2211,2025-08-12,2025-08-12T19:59:00Z,ORD,SEA,B737-MAX8,Mainline,53.0,Medium,64,166,38.6,138,18,51,0,0.0,64,51,13
5607,2025-08-12,2025-08-12T09:20:00Z,ORD,TUS,ERJ-175,Express,32.0,Medium-Low,61,70,87.1,73,13,23,1,0.0,83,34,49
3696,2025-08-06,2025-08-06T12:55:00Z,ORD,CVG,ERJ-175,Express,37.0,Medium-Low,78,76,102.6,86,18,23,4,0.0,69,34,35
4638,2025-08-14,2025-08-14T19:40:00Z,ORD,COS,ERJ-175,Express,37.0,Medium-Low,72,76,94.7,107,18,34,3,0.0,65,34,31
4497,2025-08-02,2025-08-02T14:00:00Z,ORD,ROA,CRJ-550,Express,81.0,High,61,50,122.0,119,11,41,15,0.0,-50,29,-79
764,2025-08-13,2025-08-13T08:45:00Z,ORD,YYC,B737-700,Mainline,53.0,Medium,143,126,113.5,212,62,39,10,0.0,72,52,20
4600,2025-08-14,2025-08-14T15:43:00Z,ORD,XNA,CRJ-550,Express,37.0,Medium-Low,53,50,106.0,45,3,18,3,0.0,54,29,25
5420,2025-08-15,2025-08-15T15:35:00Z,ORD,MLI,CRJ-200,Express,44.0,Medium,68,50,136.0,121,22,38,1,0.0,69,29,40
5320,2025-08-07,2025-08-07T19:40:00Z,ORD,MKE,CRJ-200,Express,54.0,Medium,44,50,88.0,96,17,24,14,0.0,217,29,188
2075,2025-08-12,2025-08-12T17:55:00Z,ORD,TPA,B737-MAX8,Mainline,52.0,Medium,156,166,94.0,237,48,66,9,0.0,74,51,23
1347,2025-08-09,2025-08-09T16:20:00Z,ORD,FLL,B737-MAX9,Mainline,57.0,Medium,258,179,144.1,270,70,65,0,0.0,85,56,29
1785,2025-08-09,2025-08-09T16:50:00Z,ORD,EWR,B737-900,Mainline,50.0,Medium,175,179,97.8,208,74,29,2,0.0,67,56,11
1851,2025-08-12,2025-08-12T08:55:00Z,ORD,ALB,B737-MAX8,Mainline,35.0,Medium-Low,83,166,50.0,102,11,40,0,0.0,187,57,130
2666,2025-08-08,2025-08-08T05:00:00Z,ORD,DEN,A321-2NX,Mainline,43.0,Medium,221,200,110.5,238,84,35,0,0.0,241,62,179
763,2025-08-11,2025-08-11T10:58:00Z,ORD,PWM,B737-800,Mainline,49.0,Medium,228,166,137.3,233,77,38,3,0.0,69,51,18
2225,2025-08-10,2025-08-10T09:15:00Z,ORD,PHX,B737-800,Mainline,35.0,Medium-Low,187,166,112.7,227,74,39,1,0.0,94,51,43
2640,2025-08-13,2025-08-13T15:00:00Z,ORD,DCA,B737-700,Mainline,64.0,Medium-High,104,126,82.5,92,25,21,0,0.0,22,43,-21
3535,2025-08-07,2025-08-07T12:45:00Z,ORD,MSN,ERJ-175,Express,54.0,Medium,76,76,100.0,136,7,49,24,0.0,47,34,13
2201,2025-08-02,2025-08-02T14:01:00Z,ORD,MCO,B737-900,Mainline,58.0,Medium,261,179,145.8,261,73,46,23,0.0,67,56,11
2207,2025-08-08,2025-08-08T15:58:00Z,ORD,OMA,B737-800,Mainline,41.0,Medium,187,166,112.7,234,28,87,4,0.0,74,51,23
3536,2025-08-01,2025-08-01T07:15:00Z,ORD,YUL,ERJ-175,Express,67.0,Medium-High,78,76,102.6,107,27,25,3,0.0,-22,42,-64
2691,2025-08-14,2025-08-14T08:47:00Z,ORD,EWR,B737-900,Mainline,71.0,Medium-High,221,179,123.5,259,93,33,7,0.0,51,56,-5
5292,2025-08-14,2025-08-14T08:45:00Z,ORD,MTY,ERJ-175,Express,57.0,Medium,77,76,101.3,128,53,9,4,0.0,43,42,1
1594,2025-08-09,2025-08-09T09:20:00Z,ORD,ABQ,A320-200,Mainline,33.0,Medium-Low,128,150,85.3,170,29,55,2,0.0,92,46,46
3655,2025-08-12,2025-08-12T12:50:00Z,ORD,PIT,ERJ-175,Express,46.0,Medium,73,76,96.1,73,11,22,7,0.0,45,34,11
1168,2025-08-06,2025-08-06T15:54:00Z,ORD,SFO,A321-2NX,Mainline,63.0,Medium-High,247,200,123.5,293,80,62,9,0.0,72,62,10
5446,2025-08-11,2025-08-11T15:50:00Z,ORD,CLE,ERJ-175,Express,50.0,Medium,78,76,102.6,91,17,25,7,0.0,155,34,121
764,2025-08-07,2025-08-07T08:45:00Z,ORD,YYC,B737-700,Mainline,47.0,Medium,154,126,122.2,182,42,40,18,0.0,865,52,813
5729,2025-08-05,2025-08-05T11:05:00Z,ORD,FNT,CRJ-200,Express,41.0,Medium,50,50,100.0,106,19,32,4,0.0,104,29,75
4185,2025-08-15,2025-08-15T20:05:00Z,ORD,STL,CRJ-550,Express,49.0,Medium,55,50,110.0,88,2,42,0,0.0,75,29,46
4517,2025-08-09,2025-08-09T14:10:00Z,ORD,SCE,CRJ-550,Express,47.0,Medium,46,50,92.0,70,3,32,0,0.0,55,29,26
1398,2025-08-03,2025-08-03T18:20:00Z,ORD,ATL,B737-800,Mainline,74.0,Medium-High,181,166,109.0,204,58,44,0,0.0,4,51,-47
2177,2025-08-09,2025-08-09T14:00:00Z,ORD,MSN,A319-100,Mainline,57.0,Medium,156,126,123.8,235,3,97,35,0.0,75,43,32
5447,2025-08-15,2025-08-15T11:05:00Z,ORD,PVD,ERJ-175,Express,35.0,Medium-Low,70,70,100.0,86,32,11,0,0.0,71,34,37
4554,2025-08-08,2025-08-08T14:00:00Z,ORD,GRB,CRJ-550,Express,52.0,Medium,56,50,112.0,119,0,48,23,0.0,138,29,109
4387,2025-08-11,2025-08-11T09:20:00Z,ORD,CID,CRJ-550,Express,43.0,Medium,55,50,110.0,85,3,37,5,0.0,75,29,46
2455,2025-08-07,2025-08-07T07:10:00Z,ORD,SAV,B737-MAX9,Mainline,27.0,Medium-Low,86,179,48.0,90,26,16,6,0.0,460,56,404
4748,2025-08-04,2025-08-04T20:20:00Z,ORD,ATW,CRJ-550,Express,42.0,Medium,46,50,92.0,58,2,27,0,0.0,124,29,95
5652,2025-08-10,2025-08-10T19:38:00Z,ORD,GEG,ERJ-175,Express,44.0,Medium,78,76,102.6,97,19,24,11,0.0,173,34,139
1741,2025-08-12,2025-08-12T09:20:00Z,ORD,JAC,B737-700,Mainline,42.0,Medium,152,126,120.6,196,43,53,4,0.0,107,43,64
5493,2025-08-03,2025-08-03T11:05:00Z,ORD,ATW,CRJ-200,Express,38.0,Medium-Low,50,50,100.0,107,17,36,1,0.0,106,29,77
1740,2025-08-15,2025-08-15T07:11:00Z,ORD,RSW,B737-800,Mainline,43.0,Medium,92,166,55.4,82,29,11,2,0.0,42,51,-9
1491,2025-08-11,2025-08-11T10:35:00Z,ORD,DFW,A319-100,Mainline,35.0,Medium-Low,126,126,100.0,103,30,19,5,0.0,70,43,27
5448,2025-08-13,2025-08-13T14:00:00Z,ORD,FWA,CRJ-200,Express,56.0,Medium,46,50,92.0,146,10,56,14,0.0,130,29,101
5230,2025-08-06,2025-08-06T14:00:00Z,ORD,CRW,CRJ-200,Express,45.0,Medium,51,50,102.0,118,16,39,8,0.0,147,29,118
4766,2025-08-07,2025-08-07T16:45:00Z,ORD,OKC,CRJ-550,Express,57.0,Medium,56,50,112.0,98,9,40,0,0.0,42,29,13
5124,2025-08-08,2025-08-08T21:07:00Z,ORD,EAU,CRJ-200,Express,43.0,Medium,49,50,98.0,61,7,22,3,0.0,57,29,28
5358,2025-08-04,2025-08-04T14:35:00Z,ORD,CAK,CRJ-550,Express,42.0,Medium,49,50,98.0,68,10,24,0,0.0,80,29,51
4792,2025-08-09,2025-08-09T17:50:00Z,ORD,ROA,ERJ-175,Express,49.0,Medium,81,76,106.6,127,9,48,13,0.0,60,34,26
4778,2025-08-11,2025-08-11T08:45:00Z,ORD,FAR,CRJ-200,Express,33.0,Medium-Low,46,50,92.0,83,34,7,1,0.0,50,29,21
3655,2025-08-07,2025-08-07T12:50:00Z,ORD,PIT,ERJ-175,Express,49.0,Medium,88,76,115.8,147,17,46,21,0.0,64,34,30
1252,2025-08-02,2025-08-02T07:00:00Z,ORD,DCA,A319-100,Mainline,42.0,Medium,102,126,81.0,122,5,46,20,0.0,637,43,594
2865,2025-08-10,2025-08-10T18:30:00Z,ORD,LGA,B737-800,Mainline,35.0,Medium-Low,176,166,106.0,74,30,7,0,0.0,85,51,34
4529,2025-08-05,2025-08-05T08:55:00Z,ORD,SGF,CRJ-550,Express,47.0,Medium,72,50,144.0,71,8,25,5,0.0,50,29,21
3641,2025-08-11,2025-08-11T10:35:00Z,ORD,GRR,ERJ-175,Express,47.0,Medium,78,76,102.6,141,8,47,31,0.0,72,34,38
2038,2025-08-07,2025-08-07T07:10:00Z,ORD,BUF,B737-800,Mainline,20.0,Low,89,166,53.6,35,11,6,1,0.0,481,51,430
343,2025-08-13,2025-08-13T10:53:00Z,ORD,SFO,A320-200,Mainline,49.0,Medium,152,150,101.3,204,73,29,0,0.0,58,46,12
1583,2025-08-10,2025-08-10T18:35:00Z,ORD,BWI,A319-100,Mainline,50.0,Medium,135,126,107.1,196,24,74,0,0.0,105,43,62
907,2025-08-08,2025-08-08T18:25:00Z,ORD,FRA,B787-10,Mainline,79.0,Medium-High,394,318,123.9,636,146,172,0,0.0,125,155,-30
2333,2025-08-10,2025-08-10T10:49:00Z,ORD,BWI,B737-900,Mainline,57.0,Medium,189,179,105.6,235,47,67,7,0.0,65,56,9
1421,2025-08-03,2025-08-03T07:00:00Z,ORD,FLL,A321-2NX,Mainline,39.0,Medium-Low,261,200,130.5,251,111,13,3,0.0,635,62,573
972,2025-08-03,2025-08-03T17:50:00Z,ORD,BRU,B787-10,Mainline,60.0,Medium,360,318,113.2,939,128,307,69,0.0,410,155,255
1198,2025-08-12,2025-08-12T09:21:00Z,ORD,CUN,B737-900,Mainline,48.0,Medium,170,179,95.0,170,72,13,0,0.0,76,70,6
3498,2025-08-02,2025-08-02T07:10:00Z,ORD,CVG,ERJ-175,Express,50.0,Medium,84,76,110.5,103,4,45,5,0.0,45,34,11
5836,2025-08-02,2025-08-02T10:35:00Z,ORD,TYS,CRJ-550,Express,46.0,Medium,62,50,124.0,39,9,9,3,0.0,41,29,12
4638,2025-08-04,2025-08-04T19:40:00Z,ORD,COS,ERJ-175,Express,54.0,Medium,84,76,110.5,115,16,35,13,0.0,65,34,31
1324,2025-08-10,2025-08-10T19:48:00Z,ORD,SFO,A321-2NX,Mainline,53.0,Medium,212,200,106.0,268,89,40,10,0.0,84,62,22
1124,2025-08-10,2025-08-10T16:07:00Z,ORD,IAH,B737-900,Mainline,63.0,Medium-High,213,179,119.0,252,76,50,0,0.0,75,56,19
1815,2025-08-03,2025-08-03T10:50:00Z,ORD,MSY,A320-200,Mainline,37.0,Medium-Low,180,150,120.0,184,62,29,2,0.0,130,46,84
1967,2025-08-13,2025-08-13T18:22:00Z,ORD,LAX,A321-2NX,Mainline,58.0,Medium,178,200,89.0,242,57,63,2,0.0,72,62,10
1659,2025-08-10,2025-08-10T10:42:00Z,ORD,CUN,B737-900,Mainline,57.0,Medium,269,179,150.3,234,107,10,0,0.0,80,70,10
1270,2025-08-10,2025-08-10T09:23:00Z,ORD,PUJ,B737-900,Mainline,46.0,Medium,234,179,130.7,224,86,26,0,0.0,97,70,27
4460,2025-08-02,2025-08-02T07:15:00Z,ORD,ROC,CRJ-550,Express,37.0,Medium-Low,50,50,100.0,64,3,28,2,0.0,650,29,621
4461,2025-08-03,2025-08-03T13:51:00Z,ORD,ABE,CRJ-550,Express,40.0,Medium-Low,59,50,118.0,66,19,14,0,0.0,115,33,82
378,2025-08-12,2025-08-12T13:55:00Z,ORD,LAX,A321-2NX,Mainline,61.0,Medium-High,277,200,138.5,339,72,90,15,0.0,73,62,11
310,2025-08-08,2025-08-08T15:53:00Z,ORD,MCI,A319-100,Mainline,58.0,Medium,152,126,120.6,252,23,103,0,0.0,58,43,15
4588,2025-08-08,2025-08-08T13:55:00Z,ORD,MDT,CRJ-550,Express,37.0,Medium-Low,48,50,96.0,67,8,24,3,0.0,110,29,81
2424,2025-08-08,2025-08-08T18:20:00Z,ORD,RDU,B737-MAX9,Mainline,43.0,Medium,176,179,98.3,116,3,55,0,0.0,80,56,24
1634,2025-08-13,2025-08-13T14:24:00Z,ORD,IAD,B737-MAX9,Mainline,53.0,Medium,195,179,108.9,238,39,80,0,0.0,70,56,14
5272,2025-08-09,2025-08-09T10:35:00Z,ORD,MSN,CRJ-550,Express,41.0,Medium,47,50,94.0,61,2,25,7,0.0,56,29,27
5045,2025-08-09,2025-08-09T16:35:00Z,ORD,RHI,CRJ-200,Express,55.0,Medium,50,50,100.0,96,9,39,0,0.0,42,29,13
5601,2025-08-14,2025-08-14T13:55:00Z,ORD,FNT,CRJ-200,Express,71.0,Medium-High,46,50,92.0,91,9,34,5,0.0,-31,29,-60
3571,2025-08-03,2025-08-03T13:05:00Z,ORD,IND,ERJ-170,Express,61.0,Medium-High,89,70,127.1,122,5,49,14,0.0,60,34,26
5292,2025-08-12,2025-08-12T08:45:00Z,ORD,MTY,ERJ-175,Express,43.0,Medium,84,76,110.5,103,42,8,3,0.0,54,42,12
4481,2025-08-11,2025-08-11T07:00:00Z,ORD,GRR,CRJ-550,Express,47.0,Medium,50,50,100.0,81,1,32,15,0.0,740,29,711
4463,2025-08-15,2025-08-15T18:35:00Z,ORD,ABE,CRJ-550,Express,34.0,Medium-Low,41,50,82.0,52,11,15,0,0.0,105,29,76
4482,2025-08-06,2025-08-06T15:35:00Z,ORD,TUL,CRJ-550,Express,49.0,Medium,53,50,106.0,54,1,23,6,0.0,45,29,16
4584,2025-08-09,2025-08-09T20:07:00Z,ORD,TUL,CRJ-550,Express,51.0,Medium,62,50,124.0,104,12,40,0,0.0,102,29,73
5051,2025-08-08,2025-08-08T21:15:00Z,ORD,LAF,CRJ-550,Express,48.0,Medium,19,50,38.0,10,3,2,0,0.0,-528,29,-557
4766,2025-08-14,2025-08-14T16:45:00Z,ORD,OKC,CRJ-550,Express,45.0,Medium,46,50,92.0,86,8,34,2,0.0,42,29,13
1775,2025-08-04,2025-08-04T17:31:00Z,ORD,FLL,B737-MAX9,Mainline,61.0,Medium-High,192,179,107.3,293,119,24,7,0.0,20,56,-36
4645,2025-08-05,2025-08-05T11:05:00Z,ORD,FWA,CRJ-200,Express,39.0,Medium-Low,47,50,94.0,90,16,27,4,0.0,190,29,161
1269,2025-08-01,2025-08-01T18:00:00Z,ORD,CLE,B737-700,Mainline,51.0,Medium,158,126,125.4,249,14,91,39,0.0,74,43,31
399,2025-08-13,2025-08-13T11:05:00Z,ORD,BOS,B737-MAX8,Mainline,43.0,Medium,182,166,109.6,176,56,32,0,0.0,91,51,40
1576,2025-08-04,2025-08-04T20:00:00Z,ORD,LGA,B737-800,Mainline,60.0,Medium,170,166,102.4,88,39,5,0,0.0,-10,51,-61
714,2025-08-03,2025-08-03T19:52:00Z,ORD,MDT,A320-200,Mainline,53.0,Medium,159,150,106.0,189,36,56,5,0.0,57,46,11
2067,2025-08-05,2025-08-05T07:30:00Z,ORD,BOS,B737-800,Mainline,42.0,Medium,203,166,122.3,126,38,25,0,0.0,501,51,450
1941,2025-08-09,2025-08-09T14:09:00Z,ORD,CVG,B737-700,Mainline,50.0,Medium,158,126,125.4,230,13,98,8,0.0,91,43,48
5395,2025-08-08,2025-08-08T13:44:00Z,ORD,GSO,ERJ-175,Express,41.0,Medium,75,70,107.1,156,19,58,2,0.0,65,34,31
1361,2025-08-15,2025-08-15T21:20:00Z,ORD,STL,B737-800,Mainline,54.0,Medium,174,166,104.8,181,7,81,5,0.0,69,51,18
5290,2025-08-01,2025-08-01T19:45:00Z,ORD,BOI,ERJ-175,Express,44.0,Medium,80,70,114.3,78,9,29,2,0.0,55,34,21
5852,2025-08-01,2025-08-01T10:46:00Z,ORD,HSV,ERJ-175,Express,36.0,Medium-Low,82,76,107.9,91,27,17,3,0.0,877,34,843
5534,2025-08-05,2025-08-05T16:00:00Z,ORD,OMA,ERJ-175,Express,59.0,Medium,83,76,109.2,102,14,36,2,0.0,27,34,-7
1996,2025-08-09,2025-08-09T08:49:00Z,ORD,SJU,A321-2NX,Mainline,43.0,Medium,248,200,124.0,279,89,47,7,0.0,576,62,514
1674,2025-08-03,2025-08-03T08:35:00Z,ORD,AUA,B737-900,Mainline,76.0,Medium-High,214,179,119.6,271,75,52,17,0.0,-69,70,-139
1381,2025-08-07,2025-08-07T09:00:00Z,ORD,DCA,A320-200,Mainline,28.0,Medium-Low,109,150,72.7,110,34,20,2,0.0,74,46,28
764,2025-08-03,2025-08-03T08:45:00Z,ORD,YYC,A319-100,Mainline,67.0,Medium-High,150,126,119.0,234,69,45,6,0.0,46,52,-6
2090,2025-08-04,2025-08-04T07:01:00Z,ORD,MIA,B737-800,Mainline,38.0,Medium-Low,202,166,121.7,147,60,11,5,0.0,83,60,23
920,2025-08-01,2025-08-01T18:05:00Z,ORD,LHR,B767-300,Mainline,45.0,Medium,190,167,113.8,275,98,34,11,0.0,1755,145,1610
4519,2025-08-04,2025-08-04T18:20:00Z,ORD,SCE,CRJ-550,Express,37.0,Medium-Low,40,50,80.0,42,1,20,0,0.0,79,29,50
4390,2025-08-04,2025-08-04T14:09:00Z,ORD,CHA,CRJ-550,Express,39.0,Medium-Low,60,50,120.0,49,7,16,3,0.0,54,29,25
2207,2025-08-01,2025-08-01T15:58:00Z,ORD,OMA,B737-MAX9,Mainline,71.0,Medium-High,207,179,115.6,260,29,99,4,0.0,15,56,-41
5103,2025-08-14,2025-08-14T21:50:00Z,ORD,JLN,CRJ-200,Express,50.0,Medium,42,50,84.0,100,26,24,0,0.0,107,29,78
2672,2025-08-14,2025-08-14T10:39:00Z,ORD,PNS,A320-200,Mainline,35.0,Medium-Low,152,150,101.3,178,73,14,4,0.0,801,46,755
5729,2025-08-14,2025-08-14T11:05:00Z,ORD,FNT,CRJ-200,Express,52.0,Medium,61,50,122.0,114,10,47,0,0.0,93,29,64
4502,2025-08-11,2025-08-11T10:50:00Z,ORD,LEX,CRJ-550,Express,43.0,Medium,47,50,94.0,58,0,29,0,0.0,55,29,26
5847,2025-08-11,2025-08-11T16:20:00Z,ORD,DSM,ERJ-175,Express,52.0,Medium,78,76,102.6,157,17,61,1,0.0,47,34,13
5099,2025-08-07,2025-08-07T12:40:00Z,ORD,CIU,CRJ-200,Express,44.0,Medium,49,50,98.0,66,20,13,0,0.0,46,29,17
5499,2025-08-06,2025-08-06T19:35:00Z,ORD,SBN,CRJ-200,Express,32.0,Medium-Low,16,50,32.0,54,4,19,8,0.0,68,29,39
4574,2025-08-13,2025-08-13T10:56:00Z,ORD,YOW,CRJ-550,Express,47.0,Medium,58,50,116.0,68,5,29,0,0.0,68,37,31
4429,2025-08-12,2025-08-12T15:52:00Z,ORD,FSD,CRJ-550,Express,53.0,Medium,65,50,130.0,46,6,17,0,0.0,57,29,28
4186,2025-08-01,2025-08-01T20:20:00Z,ORD,MLI,CRJ-550,Express,43.0,Medium,40,50,80.0,64,0,32,0,0.0,85,29,56
5229,2025-08-07,2025-08-07T11:59:00Z,ORD,ILM,ERJ-175,Express,47.0,Medium,88,76,115.8,110,39,16,0,0.0,47,34,13
2179,2025-08-12,2025-08-12T18:20:00Z,ORD,SFO,B757-300,Mainline,60.0,Medium,235,234,100.4,330,115,50,0,0.0,78,66,12
970,2025-08-13,2025-08-13T15:50:00Z,ORD,FCO,B787-10,Mainline,37.0,Medium-Low,215,318,67.6,284,70,65,14,0.0,1495,155,1340
1414,2025-08-06,2025-08-06T08:45:00Z,ORD,BOI,A320-200,Mainline,67.0,Medium-High,196,150,130.7,246,46,63,28,0.0,57,46,11
359,2025-08-01,2025-08-01T09:16:00Z,ORD,MEX,A320-200,Mainline,45.0,Medium,167,150,111.3,258,97,32,0,0.0,93,60,33
2106,2025-08-04,2025-08-04T21:40:00Z,ORD,SFO,A321-2NX,Mainline,54.0,Medium,225,200,112.5,220,62,48,0,0.0,85,70,15
1314,2025-08-14,2025-08-14T14:26:00Z,ORD,IAH,A321-2NX,Mainline,49.0,Medium,212,200,106.0,235,68,49,1,0.0,72,62,10
4791,2025-08-13,2025-08-13T10:35:00Z,ORD,SBN,CRJ-550,Express,63.0,Medium-High,43,50,86.0,132,0,60,12,0.0,45,29,16
5521,2025-08-06,2025-08-06T15:35:00Z,ORD,ATW,CRJ-200,Express,41.0,Medium,55,50,110.0,91,23,20,5,0.0,79,29,50
4502,2025-08-12,2025-08-12T10:50:00Z,ORD,LEX,CRJ-550,Express,39.0,Medium-Low,55,50,110.0,64,11,19,4,0.0,58,29,29
1710,2025-08-13,2025-08-13T19:59:00Z,ORD,SMF,B737-800,Mainline,43.0,Medium,122,166,73.5,166,28,53,4,0.0,304,51,253
4600,2025-08-11,2025-08-11T15:43:00Z,ORD,XNA,CRJ-550,Express,40.0,Medium-Low,50,50,100.0,37,7,11,1,0.0,48,29,19
3542,2025-08-12,2025-08-12T17:58:00Z,ORD,YUL,ERJ-175,Express,40.0,Medium-Low,60,76,78.9,123,19,39,7,0.0,195,42,153
2226,2025-08-01,2025-08-01T14:20:00Z,ORD,CLE,B737-900,Mainline,43.0,Medium,200,179,111.7,205,46,56,1,0.0,71,56,15
2182,2025-08-04,2025-08-04T11:20:00Z,ORD,PHL,A320-200,Mainline,36.0,Medium-Low,146,150,97.3,144,52,20,0,0.0,96,46,50
5652,2025-08-11,2025-08-11T19:38:00Z,ORD,GEG,ERJ-175,Express,58.0,Medium,79,76,103.9,144,22,44,12,0.0,48,34,14
1452,2025-08-09,2025-08-09T08:45:00Z,ORD,PVR,A320-200,Mainline,50.0,Medium,218,150,145.3,202,85,14,4,0.0,75,60,15
